"path","service","filename","extension","signature","width","height","ratio","size_kb"
"images/services/backup/asbestos/genesis-asbestos-clean-1.webp","asbestos","genesis-asbestos-clean-1.webp",".webp","webp","192","208","0.92","148.8"
"images/services/backup/asbestos/genesis-asbestos-clean-2.webp","asbestos","genesis-asbestos-clean-2.webp",".webp","webp","192","208","0.92","123.1"
"images/services/backup/asbestos/genesis-asbestos-clean-after-1.webp","asbestos","genesis-asbestos-clean-after-1.webp",".webp","webp","208","192","1.08","78.9"
"images/services/backup/asbestos/genesis-asbestos-clean-after-2.webp","asbestos","genesis-asbestos-clean-after-2.webp",".webp","webp","208","192","1.08","72.4"
"images/services/backup/balcony-repair/genesis-balcony-1.webp","balcony-repair","genesis-balcony-1.webp",".webp","webp","256","256","1","424.3"
"images/services/backup/balcony-repair/genesis-balcony-2.webp","balcony-repair","genesis-balcony-2.webp",".webp","webp","256","128","2","252.1"
"images/services/backup/balcony-repair/genesis-balcony-3.webp","balcony-repair","genesis-balcony-3.webp",".webp","webp","256","128","2","263.7"
"images/services/backup/exterior-cleaning/genesis-8-1.webp","exterior-cleaning","genesis-8-1.webp",".webp","webp","146","109","1.34","240.1"
"images/services/backup/exterior-cleaning/genesis-8-1-a.webp","exterior-cleaning","genesis-8-1-a.webp",".webp","webp","146","58","2.52","133"
"images/services/backup/exterior-cleaning/genesis-8-2.webp","exterior-cleaning","genesis-8-2.webp",".webp","webp","146","40","3.65","141.8"
"images/services/backup/exterior-cleaning/genesis-8-2-a.webp","exterior-cleaning","genesis-8-2-a.webp",".webp","webp","146","49","2.98","124.5"
"images/services/backup/exterior-cleaning/genesis-8-3.webp","exterior-cleaning","genesis-8-3.webp",".webp","webp","146","184","0.79","204.2"
"images/services/backup/exterior-cleaning/genesis-8-3-a.webp","exterior-cleaning","genesis-8-3-a.webp",".webp","webp","146","199","0.73","178.5"
"images/services/backup/exterior-cleaning/genesis-8-4.webp","exterior-cleaning","genesis-8-4.webp",".webp","webp","146","197","0.74","215.4"
"images/services/backup/exterior-cleaning/genesis-8-4-a.webp","exterior-cleaning","genesis-8-4-a.webp",".webp","webp","126","161","0.78","196.9"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-2.webp","exterior-rendering","genesis-exterior-rendering-2.webp",".webp","webp","256","128","2","166.7"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-3.webp","exterior-rendering","genesis-exterior-rendering-3.webp",".webp","webp","256","128","2","229.7"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-4.webp","exterior-rendering","genesis-exterior-rendering-4.webp",".webp","webp","256","256","1","302.4"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-5.webp","exterior-rendering","genesis-exterior-rendering-5.webp",".webp","webp","176","64","2.75","285.1"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-6.webp","exterior-rendering","genesis-exterior-rendering-6.webp",".webp","webp","256","128","2","163.3"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-7.webp","exterior-rendering","genesis-exterior-rendering-7.webp",".webp","webp","256","128","2","200.2"
"images/services/backup/exterior-rendering/genesis-exterior-rendering-8.webp","exterior-rendering","genesis-exterior-rendering-8.webp",".webp","webp","256","256","1","272.8"
"images/services/backup/floor-tiling/genesis-3-1-a.webp","floor-tiling","genesis-3-1-a.webp",".webp","webp","208","192","1.08","46.6"
"images/services/backup/floor-tiling/genesis-3-1-b.webp","floor-tiling","genesis-3-1-b.webp",".webp","webp","208","192","1.08","77.3"
"images/services/backup/floor-tiling/genesis-3-2-a.webp","floor-tiling","genesis-3-2-a.webp",".webp","webp","208","192","1.08","47.3"
"images/services/backup/floor-tiling/genesis-3-2-b.webp","floor-tiling","genesis-3-2-b.webp",".webp","webp","208","192","1.08","72.6"
"images/services/backup/genesis-5.webp","backup","genesis-5.webp",".webp","webp","208","192","1.08","92.9"
"images/services/backup/genesis-7-1.webp","backup","genesis-7-1.webp",".webp","webp","256","256","1","656.8"
"images/services/backup/genesis-cherry-picker.webp","backup","genesis-cherry-picker.webp",".webp","webp","1536","1152","1.33","259.2"
"images/services/chimney-repairs/genesis-chimney-work-1.webp","chimney-repairs","genesis-chimney-work-1.webp",".webp","webp","192","208","0.92","114.4"
"images/services/chimney-repairs/genesis-chimney-work-after.webp","chimney-repairs","genesis-chimney-work-after.webp",".webp","webp","720","840","0.86","99.2"
"images/services/fascias-soffits-guttering/fascias-01.webp","fascias-soffits-guttering","fascias-01.webp",".webp","webp","1536","1152","1.33","142.7"
"images/services/fascias-soffits-guttering/fascias-02.webp","fascias-soffits-guttering","fascias-02.webp",".webp","webp","1536","1152","1.33","181.6"
"images/services/fascias-soffits-guttering/fascias-03.webp","fascias-soffits-guttering","fascias-03.webp",".webp","webp","1536","2048","0.75","427.4"
"images/services/fascias-soffits-guttering/fascias-04.webp","fascias-soffits-guttering","fascias-04.webp",".webp","webp","1536","1152","1.33","184.3"
"images/services/fascias-soffits-guttering/genesis-guttering-added-to-side-of-building-1.webp","fascias-soffits-guttering","genesis-guttering-added-to-side-of-building-1.webp",".webp","webp","1536","1152","1.33","265.4"
"images/services/fascias-soffits-guttering/genesis-guttering-added-to-side-of-building-2.webp","fascias-soffits-guttering","genesis-guttering-added-to-side-of-building-2.webp",".webp","webp","1536","1152","1.33","192.4"
"images/services/fascias-soffits-guttering/genesis-porch-downpipe-after.webp","fascias-soffits-guttering","genesis-porch-downpipe-after.webp",".webp","webp","208","192","1.08","80"
"images/services/flat-roofing/genesis-3-layer-felt.webp","flat-roofing","genesis-3-layer-felt.webp",".webp","webp","208","192","1.08","71.4"
"images/services/flat-roofing/genesis-exterior-rendering-1.webp","flat-roofing","genesis-exterior-rendering-1.webp",".webp","webp","256","256","1","287.6"
"images/services/flat-roofing/genesis-glass-reinforced-plastic-after.webp","flat-roofing","genesis-glass-reinforced-plastic-after.webp",".webp","webp","256","256","1","231.9"
"images/services/flat-roofing/genesis-glass-reinforced-plastic-before.webp","flat-roofing","genesis-glass-reinforced-plastic-before.webp",".webp","webp","256","256","1","331.6"
"images/services/flat-roofing/genesis-grp.webp","flat-roofing","genesis-grp.webp",".webp","webp","208","192","1.08","66"
"images/services/new-roofs/genesis-corrugated-roofing-a.webp","new-roofs","genesis-corrugated-roofing-a.webp",".webp","webp","1536","2048","0.75","403.8"
"images/services/new-roofs/genesis-corrugated-roofing-after-2.webp","new-roofs","genesis-corrugated-roofing-after-2.webp",".webp","webp","1536","2048","0.75","399.8"
"images/services/new-roofs/genesis-corrugated-roofing-b.webp","new-roofs","genesis-corrugated-roofing-b.webp",".webp","webp","1536","2048","0.75","362.9"
"images/services/new-roofs/genesis-corrugated-roofing-before-2.webp","new-roofs","genesis-corrugated-roofing-before-2.webp",".webp","webp","1536","2048","0.75","287.2"
"images/services/new-roofs/re-roof-01.webp","new-roofs","re-roof-01.webp",".webp","webp","256","128","2","192.4"
"images/services/new-roofs/re-roof-02.webp","new-roofs","re-roof-02.webp",".webp","webp","256","128","2","214.1"
"images/services/new-roofs/re-roof-03.webp","new-roofs","re-roof-03.webp",".webp","webp","256","128","2","267"
"images/services/new-roofs/re-roof-04.webp","new-roofs","re-roof-04.webp",".webp","webp","256","256","1","384.7"
"images/services/new-roofs/re-roof-05.webp","new-roofs","re-roof-05.webp",".webp","webp","256","128","2","256.7"
"images/services/new-roofs/re-roof-06.webp","new-roofs","re-roof-06.webp",".webp","webp","256","128","2","255.3"
"images/services/new-roofs/re-roof-07.webp","new-roofs","re-roof-07.webp",".webp","webp","256","128","2","227"
"images/services/new-roofs/re-roofing-01.webp","new-roofs","re-roofing-01.webp",".webp","heic-or-heif",,,,"1427.1"
"images/services/new-roofs/re-roofing-02.webp","new-roofs","re-roofing-02.webp",".webp","heic-or-heif",,,,"782.6"
"images/services/new-roofs/re-roofing-03.webp","new-roofs","re-roofing-03.webp",".webp","webp","256","256","1","335.4"
"images/services/new-roofs/re-roofing-04.webp","new-roofs","re-roofing-04.webp",".webp","webp","256","256","1","401.7"
"images/services/new-roofs/re-roofing-05.webp","new-roofs","re-roofing-05.webp",".webp","webp","256","128","2","251.1"
"images/services/roof-repairs/genesis-roofing-ridge-tiles-rebedded-after.webp","roof-repairs","genesis-roofing-ridge-tiles-rebedded-after.webp",".webp","webp","208","192","1.08","87.4"
"images/services/roof-repairs/genesis-roofing-ridge-tiles-rebedded-before.webp","roof-repairs","genesis-roofing-ridge-tiles-rebedded-before.webp",".webp","webp","208","192","1.08","74.8"
"images/services/roof-repairs/genesis-roofing-ridge-tiles-rebedded-during.webp","roof-repairs","genesis-roofing-ridge-tiles-rebedded-during.webp",".webp","webp","208","192","1.08","99.1"
"images/services/roof-repairs/genesis-roofing-ridge-tiles-rebedded-during-03.webp","roof-repairs","genesis-roofing-ridge-tiles-rebedded-during-03.webp",".webp","webp","208","192","1.08","99.1"
"images/services/roof-repairs/genesis-side-verge-resetting-after-1.webp","roof-repairs","genesis-side-verge-resetting-after-1.webp",".webp","webp","192","208","0.92","26.8"
"images/services/roof-repairs/genesis-side-verge-resetting-before.webp","roof-repairs","genesis-side-verge-resetting-before.webp",".webp","webp","192","208","0.92","17.2"
"images/services/roof-repairs/genesis-side-verge-resetting-during-1.webp","roof-repairs","genesis-side-verge-resetting-during-1.webp",".webp","webp","192","208","0.92","62.9"
"images/services/roof-repairs/genesis-side-verge-resetting-during-2.webp","roof-repairs","genesis-side-verge-resetting-during-2.webp",".webp","webp","208","192","1.08","30.4"
"images/services/roof-repairs/genesis-side-verge-resetting-during-3.webp","roof-repairs","genesis-side-verge-resetting-during-3.webp",".webp","webp","192","208","0.92","27.5"
"images/services/roof-repairs/repairing-tile-verge-01.webp","roof-repairs","repairing-tile-verge-01.webp",".webp","webp","256","256","1","209.8"
"images/services/roof-repairs/repairing-tile-verge-02.webp","roof-repairs","repairing-tile-verge-02.webp",".webp","webp","1536","1152","1.33","136.5"
"images/services/roof-repairs/ridge-tile-replacement-01.webp","roof-repairs","ridge-tile-replacement-01.webp",".webp","webp","1536","1152","1.33","276.1"
"images/services/roof-repairs/ridge-tile-replacement-02.webp","roof-repairs","ridge-tile-replacement-02.webp",".webp","webp","256","256","1","595.4"
"images/services/roof-repairs/ridge-tile-replacement-03.webp","roof-repairs","ridge-tile-replacement-03.webp",".webp","webp","256","256","1","467"
"images/services/roof-repairs/roof-repair-01.webp","roof-repairs","roof-repair-01.webp",".webp","webp","1536","1152","1.33","126"
"images/services/roof-repairs/roof-repair-02.webp","roof-repairs","roof-repair-02.webp",".webp","webp","256","256","1","364"
"images/services/roof-repairs/roof-repair-03.webp","roof-repairs","roof-repair-03.webp",".webp","webp","256","256","1","254"
"images/services/roof-repairs/tile-replacement-01.webp","roof-repairs","tile-replacement-01.webp",".webp","webp","256","128","2","224.1"
"images/services/roof-repairs/tile-replacement-02.webp","roof-repairs","tile-replacement-02.webp",".webp","webp","256","128","2","215.5"
"images/services/roof-repairs/tile-replacement-03.webp","roof-repairs","tile-replacement-03.webp",".webp","webp","256","128","2","246.3"
